#{"t_start": 1633480443.85006, "env_id": null}
r,l,t 
1,7,22408.446079
1,7,22410.227082
0,7,22411.730079
0,7,22415.682103
1,7,22418.185115
1,8,22421.393116
0,7,22427.69808
1,8,22431.179104
1,8,22433.429082
1,8,22436.029116
0,7,22437.86012
1,7,22440.055082
1,7,22442.916079
1,8,22445.030117
0,7,22446.86308
0,7,22448.828079
1,7,22451.374082
0,7,22453.306079
1,8,22456.081115
0,7,22458.008111
0,7,22460.172082
1,7,22462.236116
1,7,22464.683079
1,9,22466.589079
1,7,22468.810081
0,8,22470.879081
0,8,22473.453081
1,7,22475.552116
0,8,22477.875079
0,7,22480.005118
1,7,22481.748082
0,7,22483.972079
1,7,22487.595116
1,7,22490.093114
0,7,22492.865115
1,7,22494.603081
1,7,22496.876079
0,7,22498.845117
1,7,22500.980116
1,8,22503.092082
0,7,22505.321119
0,8,22507.64908
0,8,22510.175116
1,7,22516.422116
0,7,22517.964079
0,7,22520.134082
1,8,22522.327116
0,8,22525.511083
0,7,22527.170116
0,7,22528.816082
0,7,22530.597115
1,7,22532.540082
1,7,22534.764082
1,7,22537.185082
1,8,22540.580079
0,7,22542.305081
0,8,22544.29008
0,7,22547.300081
1,8,22549.629079
0,7,22552.680079
0,7,22554.725082
1,8,22556.66308
1,7,22558.669079
0,7,22560.408079
0,7,22562.147114
0,7,22563.630081
1,7,22565.727079
0,7,22567.667079
0,7,22569.289079
0,8,22571.156118
1,8,22573.633079
0,7,22575.431079
1,8,22577.818079
0,8,22579.956082
1,7,22582.008082
1,7,22584.229079
1,8,22587.214115
1,7,22589.319079
0,7,22591.994116
0,7,22594.047082
1,7,22600.853114
1,7,22603.760082
0,8,22606.012079
0,7,22608.234081
0,7,22610.486116
1,7,22612.468079
0,7,22614.299116
0,7,22616.760082
0,7,22619.28108
0,7,22620.689114
0,8,22622.471114
0,7,22624.048079
0,7,22625.500079
0,7,22627.799082
1,7,22629.939116
0,7,22633.267081
1,7,22635.048115
0,8,22637.416079
0,7,22638.863081
1,7,22641.380082
0,7,22644.123081
1,8,22646.166082
0,7,22648.032079
1,7,22650.171116
0,8,22652.190079
1,8,22654.198081
0,7,22655.835116
0,8,22657.901115
0,7,22661.278082
1,8,22663.242102
1,7,22665.013089
0,8,22667.576082
0,8,22669.470116
1,7,22671.886117
0,8,22674.378082
0,8,22676.038082
0,7,22677.21208
0,7,22681.270082
1,7,22683.166082
1,7,22685.286079
0,7,22686.928115
0,7,22689.333079
1,8,22691.727079
1,8,22694.394082
1,8,22696.917082
0,7,22699.223117
1,7,22701.259082
1,8,22703.392079
1,8,22706.458081
1,8,22709.051082
1,7,22711.055082
0,7,22712.859079
0,7,22714.19808
1,7,22716.933081
0,7,22719.002082
0,7,22720.848114
0,7,22722.527116
0,8,22724.549079
1,7,22726.143081
0,7,22729.652082
1,7,22731.900079
0,7,22733.676116
0,7,22736.013082
0,7,22737.833082
1,7,22740.325079
1,7,22741.980079
1,7,22744.363079
0,7,22746.494083
1,7,22748.457082
0,7,22749.749115
0,7,22751.273079
0,7,22753.711082
0,8,22755.801082
0,7,22757.816082
1,7,22760.16312
0,7,22762.255115
0,7,22764.381082
1,7,22766.284103
0,7,22768.485116
0,9,22774.010114
1,7,22776.346079
0,8,22779.607116
1,8,22782.028082
1,9,22786.135116
0,9,22788.646079
0,8,22790.812079
1,9,22793.176082
0,10,22795.671116
0,9,22797.80708
0,13,22800.187082
1,9,22802.226081
0,10,22804.881079
1,8,22809.469081
0,8,22811.243079
0,8,22813.313115
1,8,22815.386079
0,8,22818.557103
1,9,22820.775117
1,8,22823.28808
0,10,22825.516082
1,9,22827.342115
0,8,22829.708081
0,10,22831.638115
1,8,22833.809081
0,9,22836.01508
1,8,22838.295079
0,8,22842.517117
0,7,22844.556119
1,8,22847.136081
0,9,22849.335115
1,7,22853.585116
0,8,22855.791082
0,8,22858.730115
0,8,22861.188079
1,8,22863.353082
1,7,22865.060081
1,8,22866.879114
1,7,22868.948082
0,8,22870.782079
0,7,22872.458081
0,9,22874.75008
1,8,22877.572082
0,8,22879.197082
1,8,22881.411117
0,8,22884.608079
1,8,22886.864079
0,8,22890.064115
1,8,22892.074079
1,8,22894.463082
0,8,22896.131114
0,8,22898.694114
0,7,22900.570081
1,7,22902.733081
1,8,22904.98908
0,7,22907.166079
1,7,22909.763079
0,7,22911.602102
1,8,22913.980115
1,7,22916.043082
0,7,22918.010116
1,8,22920.336079
1,7,22921.881082
1,7,22923.736079
1,8,22926.354116
0,7,22929.257081
0,7,22930.908083
0,7,22932.889115
0,8,22934.684079
0,7,22936.874118
0,7,22939.385116
0,7,22941.644103
0,7,22945.188082
0,7,22947.575082
1,7,22949.589081
1,7,22951.690115
0,8,22953.835079
0,7,22955.769081
1,8,22957.751116
0,8,22963.122082
1,7,22964.946079
0,7,22966.768116
1,7,22970.647115
0,7,22972.702117
1,7,22975.448079
1,8,22977.766079
0,7,22979.478116
0,7,22982.047084
0,7,22983.79208
0,7,22985.295116
0,7,22987.102115
0,8,22988.871082
1,7,22991.377116
0,7,22997.175079
0,7,22998.917113
0,7,23002.050082
0,7,23003.56908
0,7,23006.210079
0,7,23007.907079
1,7,23010.153116
1,8,23012.190079
0,7,23015.470079
0,7,23017.456081
1,7,23019.175081
0,7,23022.640079
0,7,23024.793079
1,8,23027.764116
0,8,23030.664079
1,7,23033.324079
0,7,23035.930079
0,7,23038.270082
1,8,23040.908082
0,8,23043.124082
0,8,23045.554116
1,7,23047.699117
0,8,23050.888079
0,8,23053.589081
0,8,23055.40208
1,8,23058.269079
0,8,23060.506079
0,7,23062.325116
1,7,23064.704082
1,7,23066.885082
0,8,23068.952081
0,8,23070.825117
0,9,23073.140079
1,7,23075.561079
0,7,23078.047084
1,8,23082.258119
1,8,23084.466082
0,7,23086.011081
1,7,23087.561118
0,8,23089.973082
1,8,23092.181081
1,7,23094.037116
0,8,23096.640082
0,7,23098.112114
0,7,23100.026079
1,8,23102.491079
0,7,23104.974082
1,7,23106.684083
0,7,23109.316116
0,8,23111.058117
1,8,23113.668079
0,7,23115.229116
1,8,23117.367081
0,8,23119.780082
0,8,23122.834079
1,8,23124.753081
0,8,23127.572082
0,8,23129.213114
1,7,23130.971079
0,8,23133.217116
1,8,23135.964115
1,8,23139.117082
1,8,23141.756082
1,10,23148.053079
1,9,23150.321081
0,10,23153.218081
1,8,23155.526116
0,8,23157.693116
1,8,23162.039116
0,8,23164.28908
0,8,23166.902079
1,8,23169.237117
0,7,23172.188079
1,8,23174.970116
0,8,23177.523082
1,8,23179.783082
0,8,23184.134082
0,8,23186.510116
1,7,23190.067082
0,8,23192.223082
0,8,23195.675081
1,8,23197.831082
0,8,23199.752103
0,8,23202.170079
1,8,23204.330082
0,8,23207.770116
0,8,23209.942082
0,8,23213.128079
1,8,23215.615079
0,8,23217.81312
0,8,23219.586082
0,8,23221.431079
0,8,23223.767115
1,8,23225.920115
1,7,23228.405116
0,8,23230.215079
0,9,23233.100103
0,10,23235.119079
0,8,23237.173114
0,9,23238.952117
0,8,23241.059117
1,8,23243.560082
0,9,23245.611079
0,9,23247.851079
0,9,23250.058116
1,8,23252.430116
1,8,23254.271117
0,9,23256.774117
0,8,23258.442079
0,8,23260.328079
0,10,23262.059082
0,8,23263.840082
0,8,23265.390115
0,8,23267.769079
1,7,23269.797082
0,8,23271.98308
1,8,23273.711116
0,8,23275.577081
1,7,23277.407082
1,8,23279.612079
1,7,23282.113079
0,7,23284.889081
1,8,23287.460116
0,8,23289.931082
0,8,23292.03808
1,8,23295.852082
1,8,23298.101079
0,7,23300.557079
1,8,23303.041079
1,7,23305.242082
0,8,23307.464114
1,8,23309.428082
1,7,23311.836116
0,7,23313.772079
1,7,23316.01508
0,8,23318.171115
1,8,23320.073081
1,7,23321.915079
0,7,23323.427114
0,8,23325.919116
0,8,23328.632116
1,8,23330.802116
0,8,23334.662079
0,8,23336.288103
0,8,23338.985079
0,8,23341.258079
1,8,23343.220103
1,8,23346.348081
0,8,23348.692079
0,8,23350.986082
0,8,23352.96108
0,8,23354.740079
1,8,23357.550081
0,8,23359.815116
0,8,23361.632116
0,8,23363.452116
1,8,23372.537079
1,8,23374.648116
0,8,23377.370082
0,7,23379.19408
1,8,23382.862079
0,8,23385.266082
0,7,23386.747119
0,7,23388.796113
0,8,23391.654082
0,7,23393.553117
